advmean,advstd,best_ret,epcount,eprew,ev_ext,ev_int,mem_available,n_rooms,n_updates,opt_approxkl,opt_auxloss,opt_clipfrac,opt_ent,opt_featvar,opt_gradnorm,opt_maxfeat,opt_maxkl,opt_pg,opt_tot,opt_vf,reset_counter,retextmean,retextstd,retintmean,retintstd,rewintmax_norm,rewintmax_unnorm,rewintmean_norm,rewintmean_unnorm,rewintstd_unnorm,rooms,tcount,time_elapsed,tps,vpredextmean,vpredextstd,vpredintmean,vpredintstd,wait_policy_inference,wait_step,wait_update,eplen,eprooms,rewtotal
-9.822135e-05,0.023911946,500.0,21801,7.0,0.579199880361557,0.7746848464012146,10958278656,6,2618,0.0010615926,0.015045029,0.0068359375,2.7713156,0.47782457,0.07453524,4.0703354,0.006816868,0.0035482007,0.015978433,0.00015651909,0,-0.0033524083,0.0063093,0.30774844,0.04075581,0.012616024,0.07119404,0.0029319508,0.01654542,0.009268385,[0;1;2;5;6;7],10712381,19864.62654733658,543.2923560017629,-0.0042213136,0.007984121,0.3095845,0.044875063,0.470475435256958,7.536324501037598,4.885613203048706,609.03,1.0,22700.0
0.0010030154,0.023485247,500.0,21809,7.0,0.149178147315979,0.7774058878421783,10958045184,6,2619,0.00077440066,0.016011374,0.0048828125,2.787727,0.48215035,0.032941468,4.1750803,0.006414322,0.0013705199,0.014698497,0.00010433057,0,-0.0014021293,0.0039137686,0.31543577,0.042101774,0.015940681,0.089939125,0.003041856,0.017162496,0.010812271,[0;1;2;5;6;7],10717625,19872.077489852905,549.7290926562641,-0.0019153489,0.0057861563,0.3154592,0.0441559,0.4714670181274414,7.448206901550293,4.766823053359985,619.27,1.0,22700.0
-0.00077473524,0.02411052,500.0,21816,7.0,0.25661277770996094,0.8164627552032471,10959081472,6,2620,0.0015564507,0.019366717,0.03125,2.7787385,0.47393417,0.05231254,4.9378104,0.009567625,-0.0036070445,0.013280347,0.00029941348,0,-0.0005470844,0.0037787291,0.31929082,0.04937241,0.017888505,0.100910544,0.003157724,0.017812984,0.012416095,[0;1;2;5;6;7],10721927,19879.567097187042,546.8911716799641,-0.0005188815,0.0047961352,0.32000917,0.042326074,0.4678778648376465,7.486768007278442,4.8275580406188965,621.25,1.0,22700.0
-0.0013196061,0.021032177,500.0,21825,7.0,-0.06378912925720215,0.8202624619007111,10958839808,6,2621,0.0011127777,0.015520355,0.025390625,2.7846684,0.4756702,0.03549713,4.062683,0.015669404,-0.0006630836,0.012211945,0.0001393423,0,-0.0014794422,0.0028455534,0.31489354,0.043020297,0.01599988,0.090240166,0.0029734466,0.016770396,0.011070578,[0;1;2;5;6;7],10726954,19887.16725206375,538.9364195113033,-0.0017596476,0.0043279524,0.3167736,0.0428302,0.4748051166534424,7.597374677658081,4.909448146820068,604.17,1.0,22700.0
-0.0009965205,0.02000791,500.0,21833,3.0,0.3993220925331116,0.8228678107261658,10958868480,6,2622,0.0011704197,0.017351542,0.0087890625,2.7810252,0.44504443,0.043325044,4.241598,0.007629201,-0.0015383825,0.013222668,0.00019053495,0,-0.0002481823,0.0036511319,0.32547048,0.040426653,0.015505304,0.08743475,0.0031013426,0.01748854,0.010557557,[0;1;2;5;6;7],10730921,19894.727221250534,541.8011500841927,-0.0002686772,0.004623191,0.326508,0.040839005,0.47538161277770996,7.556999683380127,4.8756725788116455,601.71,1.0,22700.0
-0.0059797214,0.019632898,500.0,21842,3.0,0.18026810884475708,0.8084558397531509,10959650816,6,2623,0.0013558196,0.015550221,0.08691406,2.7918549,0.44858938,0.06377262,3.9372401,0.010033808,0.00786461,0.020745523,0.00012254748,0,-0.00027953452,0.0031441902,0.31965566,0.038234018,0.018956318,0.10687556,0.0029835885,0.016821448,0.010768039,[0;1;2;5;6;7],10735130,19902.243910074234,544.920753836043,-0.0001880416,0.0046386383,0.3254524,0.03616343,0.47266197204589844,7.513942003250122,4.839324474334717,575.1,1.0,22700.0
-0.0026498027,0.025162907,500.0,21852,3.0,0.7646902203559875,0.834903284907341,10960191488,6,2624,0.0010283068,0.0171149,0.01171875,2.7845306,0.46717277,0.13704343,4.1741986,0.0074471175,-0.0072353203,0.0074433675,0.00034831863,0,0.00038454478,0.008329256,0.31268632,0.048531365,0.017034184,0.09602115,0.0029125188,0.016417775,0.011354991,[0;1;2;5;6;7],10739755,19909.790088415146,542.7913406997651,7.252254e-05,0.0071088155,0.3159602,0.039145548,0.47159910202026367,7.543395519256592,4.8784027099609375,573.75,1.0,22700.0
0.006786864,0.09754228,500.0,21862,3.0,0.15307503938674927,0.8649313300848007,10958852096,6,2625,0.0036293226,0.02123632,0.2421875,2.7772386,0.5073573,0.20666316,4.082936,0.029910803,-0.032084152,-0.009487208,0.0041378634,0,0.003644565,0.044922892,0.3302552,0.08277052,0.03797129,0.21400434,0.0033169694,0.018694278,0.015662417,[0;1;2;5;6;7],10744788,19917.37650036812,539.9126448629969,0.0016546559,0.015342844,0.3274482,0.06445466,0.4631991386413574,7.5836052894592285,4.918775796890259,558.05,1.0,22700.0
-0.0050224494,0.025577266,500.0,21866,2.0,0.8183770179748535,0.9307589903473854,10958864384,6,2626,0.0013266366,0.018396698,0.02734375,2.7756195,0.5185476,0.0700431,4.9451027,0.010797783,0.004862622,0.020647872,0.00016417186,0,0.0038912487,0.010617606,0.33493912,0.08034083,0.016253665,0.09158832,0.003331476,0.018772643,0.012631961,[0;1;2;5;6;7],10746555,19924.83298254013,549.3207342881802,0.0049982714,0.012661397,0.3377475,0.074722566,0.46604180335998535,7.453620195388794,4.8120551109313965,554.49,1.0,22700.0
0.017688932,0.14132325,500.0,21878,1.0,0.32316166162490845,0.8542016595602036,10959667200,6,2627,0.006529561,0.02659192,0.38964844,2.7654974,0.54471904,0.15686098,4.663225,0.15262431,-0.04145045,-0.013477024,0.004147004,0,0.008738665,0.06868423,0.34094825,0.15188992,0.0729579,0.41104198,0.0038009894,0.021414626,0.028823942,[0;1;2;5;6;7],10751782,19932.414917230606,540.2315064973396,0.0034477185,0.021239053,0.3338412,0.10552004,0.4722774028778076,7.579484939575195,4.879417181015015,530.05,1.0,22700.0
-0.004451927,0.061500993,500.0,21884,5.0,0.8596295267343521,0.9250494316220284,10957099008,6,2628,0.0023780474,0.02279019,0.12109375,2.763048,0.5359745,0.15305272,4.1825376,0.015973061,0.010858303,0.03301905,0.0021336062,0,0.01120135,0.033581488,0.35706314,0.15842384,0.039335668,0.22157793,0.0038684811,0.021791168,0.0192329,[0;1;2;5;6;7],10754759,19940.004437446594,539.6915254308635,0.013497647,0.039381288,0.3569225,0.15912019,0.46624326705932617,7.586222171783447,4.930871248245239,520.77,1.0,23100.0
0.0022159822,0.09987895,500.0,21891,6.0,0.49122220277786255,0.9007731080055237,10958925824,6,2629,0.0030543278,0.017005932,0.19140625,2.7514834,0.47140616,0.09381369,4.0717716,0.025544481,-0.009221786,0.0051655173,0.00013285514,0,0.005860736,0.055709407,0.33526087,0.12799598,0.025490835,0.14356378,0.0034800544,0.019599583,0.012811761,[0;1;2;5;6;7],10758764,19947.554530858994,542.5098612180999,0.0050222315,0.03487349,0.33472192,0.14041261,0.4734616279602051,7.547261476516724,4.870463609695435,520.68,1.0,23200.0
